"","from","to"
"3786",44,44
"3787",44,45
"3788",44,39
"3789",44,46
"3790",44,40
"3791",44,48
"3792",45,44
"3793",45,45
"3794",45,39
"3795",45,46
"3796",45,40
"3797",45,48
"3798",39,44
"3799",39,45
"3800",39,39
"3801",39,46
"3802",39,40
"3803",39,48
"3804",46,44
"3805",46,45
"3806",46,39
"3807",46,46
"3808",46,40
"3809",46,48
"3810",40,44
"3811",40,45
"3812",40,39
"3813",40,46
"3814",40,40
"3815",40,48
"3816",48,44
"3817",48,45
"3818",48,39
"3819",48,46
"3820",48,40
"3821",48,48
"3822",44,44
"3823",44,45
"3824",44,39
"3825",44,47
"3826",44,40
"3827",45,44
"3828",45,45
"3829",45,39
"3830",45,47
"3831",45,40
"3832",39,44
"3833",39,45
"3834",39,39
"3835",39,47
"3836",39,40
"3837",47,44
"3838",47,45
"3839",47,39
"3840",47,47
"3841",47,40
"3842",40,44
"3843",40,45
"3844",40,39
"3845",40,47
"3846",40,40
"3847",44,44
"3848",44,47
"3849",44,40
"3850",47,44
"3851",47,47
"3852",47,40
"3853",40,44
"3854",40,47
"3855",40,40
"3856",44,44
"3857",44,44
"3858",44,45
"3859",44,39
"3860",44,40
"3861",44,48
"3862",45,44
"3863",45,45
"3864",45,39
"3865",45,40
"3866",45,48
"3867",39,44
"3868",39,45
"3869",39,39
"3870",39,40
"3871",39,48
"3872",40,44
"3873",40,45
"3874",40,39
"3875",40,40
"3876",40,48
"3877",48,44
"3878",48,45
"3879",48,39
"3880",48,40
"3881",48,48
"3882",44,44
"3883",44,39
"3884",44,40
"3885",44,48
"3886",39,44
"3887",39,39
"3888",39,40
"3889",39,48
"3890",40,44
"3891",40,39
"3892",40,40
"3893",40,48
"3894",48,44
"3895",48,39
"3896",48,40
"3897",48,48
"3898",44,44
"3899",44,39
"3900",44,40
"3901",44,48
"3902",39,44
"3903",39,39
"3904",39,40
"3905",39,48
"3906",40,44
"3907",40,39
"3908",40,40
"3909",40,48
"3910",48,44
"3911",48,39
"3912",48,40
"3913",48,48
"3914",44,44
"3915",44,45
"3916",44,39
"3917",44,40
"3918",44,48
"3919",45,44
"3920",45,45
"3921",45,39
"3922",45,40
"3923",45,48
"3924",39,44
"3925",39,45
"3926",39,39
"3927",39,40
"3928",39,48
"3929",40,44
"3930",40,45
"3931",40,39
"3932",40,40
"3933",40,48
"3934",48,44
"3935",48,45
"3936",48,39
"3937",48,40
"3938",48,48
"3939",44,44
"3940",44,45
"3941",44,39
"3942",44,40
"3943",44,48
"3944",45,44
"3945",45,45
"3946",45,39
"3947",45,40
"3948",45,48
"3949",39,44
"3950",39,45
"3951",39,39
"3952",39,40
"3953",39,48
"3954",40,44
"3955",40,45
"3956",40,39
"3957",40,40
"3958",40,48
"3959",48,44
"3960",48,45
"3961",48,39
"3962",48,40
"3963",48,48
"3964",44,44
"3965",44,39
"3966",44,40
"3967",44,48
"3968",39,44
"3969",39,39
"3970",39,40
"3971",39,48
"3972",40,44
"3973",40,39
"3974",40,40
"3975",40,48
"3976",48,44
"3977",48,39
"3978",48,40
"3979",48,48
"3980",44,44
"3981",44,45
"3982",44,39
"3983",44,40
"3984",44,48
"3985",45,44
"3986",45,45
"3987",45,39
"3988",45,40
"3989",45,48
"3990",39,44
"3991",39,45
"3992",39,39
"3993",39,40
"3994",39,48
"3995",40,44
"3996",40,45
"3997",40,39
"3998",40,40
"3999",40,48
"4000",48,44
"4001",48,45
"4002",48,39
"4003",48,40
"4004",48,48
"4005",44,44
"4006",44,44
"4007",44,45
"4008",44,39
"4009",44,40
"4010",44,48
"4011",45,44
"4012",45,45
"4013",45,39
"4014",45,40
"4015",45,48
"4016",39,44
"4017",39,45
"4018",39,39
"4019",39,40
"4020",39,48
"4021",40,44
"4022",40,45
"4023",40,39
"4024",40,40
"4025",40,48
"4026",48,44
"4027",48,45
"4028",48,39
"4029",48,40
"4030",48,48
"4031",44,44
"4032",44,45
"4033",44,39
"4034",44,46
"4035",44,48
"4036",45,44
"4037",45,45
"4038",45,39
"4039",45,46
"4040",45,48
"4041",39,44
"4042",39,45
"4043",39,39
"4044",39,46
"4045",39,48
"4046",46,44
"4047",46,45
"4048",46,39
"4049",46,46
"4050",46,48
"4051",48,44
"4052",48,45
"4053",48,39
"4054",48,46
"4055",48,48
"4056",44,44
"4057",44,39
"4058",44,40
"4059",44,48
"4060",39,44
"4061",39,39
"4062",39,40
"4063",39,48
"4064",40,44
"4065",40,39
"4066",40,40
"4067",40,48
"4068",48,44
"4069",48,39
"4070",48,40
"4071",48,48
"4072",44,44
"4073",44,45
"4074",44,56
"4075",44,57
"4076",44,39
"4077",44,46
"4078",44,40
"4079",44,48
"4080",45,44
"4081",45,45
"4082",45,56
"4083",45,57
"4084",45,39
"4085",45,46
"4086",45,40
"4087",45,48
"4088",56,44
"4089",56,45
"4090",56,56
"4091",56,57
"4092",56,39
"4093",56,46
"4094",56,40
"4095",56,48
"4096",57,44
"4097",57,45
"4098",57,56
"4099",57,57
"4100",57,39
"4101",57,46
"4102",57,40
"4103",57,48
"4104",39,44
"4105",39,45
"4106",39,56
"4107",39,57
"4108",39,39
"4109",39,46
"4110",39,40
"4111",39,48
"4112",46,44
"4113",46,45
"4114",46,56
"4115",46,57
"4116",46,39
"4117",46,46
"4118",46,40
"4119",46,48
"4120",40,44
"4121",40,45
"4122",40,56
"4123",40,57
"4124",40,39
"4125",40,46
"4126",40,40
"4127",40,48
"4128",48,44
"4129",48,45
"4130",48,56
"4131",48,57
"4132",48,39
"4133",48,46
"4134",48,40
"4135",48,48
"4136",44,44
"4137",44,47
"4138",44,40
"4139",47,44
"4140",47,47
"4141",47,40
"4142",40,44
"4143",40,47
"4144",40,40
"4145",44,44
"4146",44,39
"4147",44,40
"4148",44,48
"4149",39,44
"4150",39,39
"4151",39,40
"4152",39,48
"4153",40,44
"4154",40,39
"4155",40,40
"4156",40,48
"4157",48,44
"4158",48,39
"4159",48,40
"4160",48,48
"4161",44,44
"4162",44,48
"4163",48,44
"4164",48,48
"4165",44,44
"4166",44,45
"4167",44,39
"4168",44,46
"4169",44,40
"4170",44,48
"4171",45,44
"4172",45,45
"4173",45,39
"4174",45,46
"4175",45,40
"4176",45,48
"4177",39,44
"4178",39,45
"4179",39,39
"4180",39,46
"4181",39,40
"4182",39,48
"4183",46,44
"4184",46,45
"4185",46,39
"4186",46,46
"4187",46,40
"4188",46,48
"4189",40,44
"4190",40,45
"4191",40,39
"4192",40,46
"4193",40,40
"4194",40,48
"4195",48,44
"4196",48,45
"4197",48,39
"4198",48,46
"4199",48,40
"4200",48,48
"4201",44,44
"4202",44,45
"4203",44,39
"4204",44,46
"4205",44,40
"4206",44,48
"4207",45,44
"4208",45,45
"4209",45,39
"4210",45,46
"4211",45,40
"4212",45,48
"4213",39,44
"4214",39,45
"4215",39,39
"4216",39,46
"4217",39,40
"4218",39,48
"4219",46,44
"4220",46,45
"4221",46,39
"4222",46,46
"4223",46,40
"4224",46,48
"4225",40,44
"4226",40,45
"4227",40,39
"4228",40,46
"4229",40,40
"4230",40,48
"4231",48,44
"4232",48,45
"4233",48,39
"4234",48,46
"4235",48,40
"4236",48,48
"4237",44,44
"4238",44,45
"4239",44,39
"4240",44,40
"4241",44,48
"4242",45,44
"4243",45,45
"4244",45,39
"4245",45,40
"4246",45,48
"4247",39,44
"4248",39,45
"4249",39,39
"4250",39,40
"4251",39,48
"4252",40,44
"4253",40,45
"4254",40,39
"4255",40,40
"4256",40,48
"4257",48,44
"4258",48,45
"4259",48,39
"4260",48,40
"4261",48,48
"4262",44,44
"4263",44,45
"4264",44,39
"4265",44,46
"4266",44,40
"4267",44,48
"4268",45,44
"4269",45,45
"4270",45,39
"4271",45,46
"4272",45,40
"4273",45,48
"4274",39,44
"4275",39,45
"4276",39,39
"4277",39,46
"4278",39,40
"4279",39,48
"4280",46,44
"4281",46,45
"4282",46,39
"4283",46,46
"4284",46,40
"4285",46,48
"4286",40,44
"4287",40,45
"4288",40,39
"4289",40,46
"4290",40,40
"4291",40,48
"4292",48,44
"4293",48,45
"4294",48,39
"4295",48,46
"4296",48,40
"4297",48,48
"4298",44,44
"4299",44,45
"4300",44,39
"4301",44,46
"4302",44,48
"4303",45,44
"4304",45,45
"4305",45,39
"4306",45,46
"4307",45,48
"4308",39,44
"4309",39,45
"4310",39,39
"4311",39,46
"4312",39,48
"4313",46,44
"4314",46,45
"4315",46,39
"4316",46,46
"4317",46,48
"4318",48,44
"4319",48,45
"4320",48,39
"4321",48,46
"4322",48,48
"4323",44,44
"4324",44,45
"4325",44,39
"4326",44,40
"4327",44,48
"4328",45,44
"4329",45,45
"4330",45,39
"4331",45,40
"4332",45,48
"4333",39,44
"4334",39,45
"4335",39,39
"4336",39,40
"4337",39,48
"4338",40,44
"4339",40,45
"4340",40,39
"4341",40,40
"4342",40,48
"4343",48,44
"4344",48,45
"4345",48,39
"4346",48,40
"4347",48,48
"4348",44,44
"4349",44,45
"4350",44,39
"4351",44,46
"4352",44,40
"4353",44,48
"4354",45,44
"4355",45,45
"4356",45,39
"4357",45,46
"4358",45,40
"4359",45,48
"4360",39,44
"4361",39,45
"4362",39,39
"4363",39,46
"4364",39,40
"4365",39,48
"4366",46,44
"4367",46,45
"4368",46,39
"4369",46,46
"4370",46,40
"4371",46,48
"4372",40,44
"4373",40,45
"4374",40,39
"4375",40,46
"4376",40,40
"4377",40,48
"4378",48,44
"4379",48,45
"4380",48,39
"4381",48,46
"4382",48,40
"4383",48,48
"4384",44,44
"4385",44,39
"4386",44,40
"4387",44,48
"4388",39,44
"4389",39,39
"4390",39,40
"4391",39,48
"4392",40,44
"4393",40,39
"4394",40,40
"4395",40,48
"4396",48,44
"4397",48,39
"4398",48,40
"4399",48,48
"4400",44,44
"4401",44,39
"4402",44,40
"4403",44,48
"4404",39,44
"4405",39,39
"4406",39,40
"4407",39,48
"4408",40,44
"4409",40,39
"4410",40,40
"4411",40,48
"4412",48,44
"4413",48,39
"4414",48,40
"4415",48,48
"4416",44,44
"4417",44,39
"4418",44,40
"4419",44,48
"4420",39,44
"4421",39,39
"4422",39,40
"4423",39,48
"4424",40,44
"4425",40,39
"4426",40,40
"4427",40,48
"4428",48,44
"4429",48,39
"4430",48,40
"4431",48,48
"4432",44,44
"4433",44,39
"4434",44,40
"4435",44,48
"4436",39,44
"4437",39,39
"4438",39,40
"4439",39,48
"4440",40,44
"4441",40,39
"4442",40,40
"4443",40,48
"4444",48,44
"4445",48,39
"4446",48,40
"4447",48,48
"4448",44,44
"4449",44,45
"4450",44,39
"4451",44,46
"4452",44,40
"4453",44,48
"4454",45,44
"4455",45,45
"4456",45,39
"4457",45,46
"4458",45,40
"4459",45,48
"4460",39,44
"4461",39,45
"4462",39,39
"4463",39,46
"4464",39,40
"4465",39,48
"4466",46,44
"4467",46,45
"4468",46,39
"4469",46,46
"4470",46,40
"4471",46,48
"4472",40,44
"4473",40,45
"4474",40,39
"4475",40,46
"4476",40,40
"4477",40,48
"4478",48,44
"4479",48,45
"4480",48,39
"4481",48,46
"4482",48,40
"4483",48,48
"4484",44,44
"4485",44,39
"4486",44,40
"4487",44,48
"4488",39,44
"4489",39,39
"4490",39,40
"4491",39,48
"4492",40,44
"4493",40,39
"4494",40,40
"4495",40,48
"4496",48,44
"4497",48,39
"4498",48,40
"4499",48,48
"4500",44,44
"4501",44,44
"4502",44,44
"4503",44,45
"4504",44,39
"4505",44,40
"4506",44,48
"4507",45,44
"4508",45,45
"4509",45,39
"4510",45,40
"4511",45,48
"4512",39,44
"4513",39,45
"4514",39,39
"4515",39,40
"4516",39,48
"4517",40,44
"4518",40,45
"4519",40,39
"4520",40,40
"4521",40,48
"4522",48,44
"4523",48,45
"4524",48,39
"4525",48,40
"4526",48,48
"4527",44,44
"4528",44,45
"4529",44,39
"4530",44,40
"4531",44,48
"4532",45,44
"4533",45,45
"4534",45,39
"4535",45,40
"4536",45,48
"4537",39,44
"4538",39,45
"4539",39,39
"4540",39,40
"4541",39,48
"4542",40,44
"4543",40,45
"4544",40,39
"4545",40,40
"4546",40,48
"4547",48,44
"4548",48,45
"4549",48,39
"4550",48,40
"4551",48,48
"4552",44,44
"4553",44,45
"4554",44,39
"4555",44,46
"4556",44,40
"4557",44,48
"4558",45,44
"4559",45,45
"4560",45,39
"4561",45,46
"4562",45,40
"4563",45,48
"4564",39,44
"4565",39,45
"4566",39,39
"4567",39,46
"4568",39,40
"4569",39,48
"4570",46,44
"4571",46,45
"4572",46,39
"4573",46,46
"4574",46,40
"4575",46,48
"4576",40,44
"4577",40,45
"4578",40,39
"4579",40,46
"4580",40,40
"4581",40,48
"4582",48,44
"4583",48,45
"4584",48,39
"4585",48,46
"4586",48,40
"4587",48,48
"4588",44,44
"4589",44,45
"4590",44,39
"4591",44,46
"4592",44,48
"4593",45,44
"4594",45,45
"4595",45,39
"4596",45,46
"4597",45,48
"4598",39,44
"4599",39,45
"4600",39,39
"4601",39,46
"4602",39,48
"4603",46,44
"4604",46,45
"4605",46,39
"4606",46,46
"4607",46,48
"4608",48,44
"4609",48,45
"4610",48,39
"4611",48,46
"4612",48,48
"4613",44,44
"4614",44,45
"4615",44,39
"4616",44,40
"4617",44,48
"4618",45,44
"4619",45,45
"4620",45,39
"4621",45,40
"4622",45,48
"4623",39,44
"4624",39,45
"4625",39,39
"4626",39,40
"4627",39,48
"4628",40,44
"4629",40,45
"4630",40,39
"4631",40,40
"4632",40,48
"4633",48,44
"4634",48,45
"4635",48,39
"4636",48,40
"4637",48,48
"4638",44,44
"4639",44,45
"4640",44,56
"4641",44,57
"4642",44,46
"4643",44,48
"4644",45,44
"4645",45,45
"4646",45,56
"4647",45,57
"4648",45,46
"4649",45,48
"4650",56,44
"4651",56,45
"4652",56,56
"4653",56,57
"4654",56,46
"4655",56,48
"4656",57,44
"4657",57,45
"4658",57,56
"4659",57,57
"4660",57,46
"4661",57,48
"4662",46,44
"4663",46,45
"4664",46,56
"4665",46,57
"4666",46,46
"4667",46,48
"4668",48,44
"4669",48,45
"4670",48,56
"4671",48,57
"4672",48,46
"4673",48,48
"4674",44,44
"4675",44,39
"4676",44,40
"4677",44,48
"4678",39,44
"4679",39,39
"4680",39,40
"4681",39,48
"4682",40,44
"4683",40,39
"4684",40,40
"4685",40,48
"4686",48,44
"4687",48,39
"4688",48,40
"4689",48,48
"4690",44,44
"4691",44,45
"4692",44,57
"4693",44,46
"4694",44,48
"4695",45,44
"4696",45,45
"4697",45,57
"4698",45,46
"4699",45,48
"4700",57,44
"4701",57,45
"4702",57,57
"4703",57,46
"4704",57,48
"4705",46,44
"4706",46,45
"4707",46,57
"4708",46,46
"4709",46,48
"4710",48,44
"4711",48,45
"4712",48,57
"4713",48,46
"4714",48,48
"4715",44,44
"4716",44,45
"4717",44,39
"4718",44,40
"4719",44,48
"4720",45,44
"4721",45,45
"4722",45,39
"4723",45,40
"4724",45,48
"4725",39,44
"4726",39,45
"4727",39,39
"4728",39,40
"4729",39,48
"4730",40,44
"4731",40,45
"4732",40,39
"4733",40,40
"4734",40,48
"4735",48,44
"4736",48,45
"4737",48,39
"4738",48,40
"4739",48,48
"4740",44,44
"4741",44,45
"4742",44,56
"4743",44,46
"4744",44,48
"4745",45,44
"4746",45,45
"4747",45,56
"4748",45,46
"4749",45,48
"4750",56,44
"4751",56,45
"4752",56,56
"4753",56,46
"4754",56,48
"4755",46,44
"4756",46,45
"4757",46,56
"4758",46,46
"4759",46,48
"4760",48,44
"4761",48,45
"4762",48,56
"4763",48,46
"4764",48,48
"4765",44,44
"4766",44,39
"4767",44,40
"4768",44,48
"4769",39,44
"4770",39,39
"4771",39,40
"4772",39,48
"4773",40,44
"4774",40,39
"4775",40,40
"4776",40,48
"4777",48,44
"4778",48,39
"4779",48,40
"4780",48,48
"4781",44,44
"4782",44,45
"4783",44,39
"4784",44,40
"4785",44,48
"4786",45,44
"4787",45,45
"4788",45,39
"4789",45,40
"4790",45,48
"4791",39,44
"4792",39,45
"4793",39,39
"4794",39,40
"4795",39,48
"4796",40,44
"4797",40,45
"4798",40,39
"4799",40,40
"4800",40,48
"4801",48,44
"4802",48,45
"4803",48,39
"4804",48,40
"4805",48,48
"4806",44,44
"4807",44,45
"4808",44,39
"4809",44,46
"4810",44,40
"4811",44,48
"4812",45,44
"4813",45,45
"4814",45,39
"4815",45,46
"4816",45,40
"4817",45,48
"4818",39,44
"4819",39,45
"4820",39,39
"4821",39,46
"4822",39,40
"4823",39,48
"4824",46,44
"4825",46,45
"4826",46,39
"4827",46,46
"4828",46,40
"4829",46,48
"4830",40,44
"4831",40,45
"4832",40,39
"4833",40,46
"4834",40,40
"4835",40,48
"4836",48,44
"4837",48,45
"4838",48,39
"4839",48,46
"4840",48,40
"4841",48,48
"4842",44,44
"4843",44,45
"4844",44,39
"4845",44,46
"4846",44,40
"4847",44,48
"4848",45,44
"4849",45,45
"4850",45,39
"4851",45,46
"4852",45,40
"4853",45,48
"4854",39,44
"4855",39,45
"4856",39,39
"4857",39,46
"4858",39,40
"4859",39,48
"4860",46,44
"4861",46,45
"4862",46,39
"4863",46,46
"4864",46,40
"4865",46,48
"4866",40,44
"4867",40,45
"4868",40,39
"4869",40,46
"4870",40,40
"4871",40,48
"4872",48,44
"4873",48,45
"4874",48,39
"4875",48,46
"4876",48,40
"4877",48,48
"4878",44,44
"4879",44,39
"4880",44,40
"4881",44,48
"4882",39,44
"4883",39,39
"4884",39,40
"4885",39,48
"4886",40,44
"4887",40,39
"4888",40,40
"4889",40,48
"4890",48,44
"4891",48,39
"4892",48,40
"4893",48,48
"4894",44,44
"4895",44,39
"4896",44,40
"4897",44,48
"4898",39,44
"4899",39,39
"4900",39,40
"4901",39,48
"4902",40,44
"4903",40,39
"4904",40,40
"4905",40,48
"4906",48,44
"4907",48,39
"4908",48,40
"4909",48,48
"4910",44,44
"4911",44,45
"4912",44,39
"4913",44,40
"4914",44,48
"4915",45,44
"4916",45,45
"4917",45,39
"4918",45,40
"4919",45,48
"4920",39,44
"4921",39,45
"4922",39,39
"4923",39,40
"4924",39,48
"4925",40,44
"4926",40,45
"4927",40,39
"4928",40,40
"4929",40,48
"4930",48,44
"4931",48,45
"4932",48,39
"4933",48,40
"4934",48,48
"4935",44,44
"4936",44,45
"4937",44,39
"4938",44,40
"4939",44,48
"4940",45,44
"4941",45,45
"4942",45,39
"4943",45,40
"4944",45,48
"4945",39,44
"4946",39,45
"4947",39,39
"4948",39,40
"4949",39,48
"4950",40,44
"4951",40,45
"4952",40,39
"4953",40,40
"4954",40,48
"4955",48,44
"4956",48,45
"4957",48,39
"4958",48,40
"4959",48,48
"4960",44,44
"4961",44,45
"4962",44,39
"4963",44,40
"4964",44,48
"4965",45,44
"4966",45,45
"4967",45,39
"4968",45,40
"4969",45,48
"4970",39,44
"4971",39,45
"4972",39,39
"4973",39,40
"4974",39,48
"4975",40,44
"4976",40,45
"4977",40,39
"4978",40,40
"4979",40,48
"4980",48,44
"4981",48,45
"4982",48,39
"4983",48,40
"4984",48,48
"4985",44,44
"4986",44,39
"4987",44,40
"4988",44,48
"4989",39,44
"4990",39,39
"4991",39,40
"4992",39,48
"4993",40,44
"4994",40,39
"4995",40,40
"4996",40,48
"4997",48,44
"4998",48,39
"4999",48,40
"5000",48,48
"5001",44,44
"5002",44,45
"5003",44,56
"5004",44,46
"5005",44,48
"5006",45,44
"5007",45,45
"5008",45,56
"5009",45,46
"5010",45,48
"5011",56,44
"5012",56,45
"5013",56,56
"5014",56,46
"5015",56,48
"5016",46,44
"5017",46,45
"5018",46,56
"5019",46,46
"5020",46,48
"5021",48,44
"5022",48,45
"5023",48,56
"5024",48,46
"5025",48,48
"5026",44,44
"5027",44,45
"5028",44,39
"5029",44,46
"5030",44,40
"5031",44,48
"5032",45,44
"5033",45,45
"5034",45,39
"5035",45,46
"5036",45,40
"5037",45,48
"5038",39,44
"5039",39,45
"5040",39,39
"5041",39,46
"5042",39,40
"5043",39,48
"5044",46,44
"5045",46,45
"5046",46,39
"5047",46,46
"5048",46,40
"5049",46,48
"5050",40,44
"5051",40,45
"5052",40,39
"5053",40,46
"5054",40,40
"5055",40,48
"5056",48,44
"5057",48,45
"5058",48,39
"5059",48,46
"5060",48,40
"5061",48,48
"5062",44,44
"5063",44,48
"5064",44,58
"5065",48,44
"5066",48,48
"5067",48,58
"5068",58,44
"5069",58,48
"5070",58,58
"5071",44,44
"5072",44,45
"5073",44,39
"5074",44,40
"5075",44,48
"5076",45,44
"5077",45,45
"5078",45,39
"5079",45,40
"5080",45,48
"5081",39,44
"5082",39,45
"5083",39,39
"5084",39,40
"5085",39,48
"5086",40,44
"5087",40,45
"5088",40,39
"5089",40,40
"5090",40,48
"5091",48,44
"5092",48,45
"5093",48,39
"5094",48,40
"5095",48,48
"5096",44,44
"5097",44,39
"5098",44,40
"5099",44,48
"5100",39,44
"5101",39,39
"5102",39,40
"5103",39,48
"5104",40,44
"5105",40,39
"5106",40,40
"5107",40,48
"5108",48,44
"5109",48,39
"5110",48,40
"5111",48,48
"5112",44,44
"5113",44,45
"5114",44,39
"5115",44,46
"5116",44,40
"5117",44,48
"5118",45,44
"5119",45,45
"5120",45,39
"5121",45,46
"5122",45,40
"5123",45,48
"5124",39,44
"5125",39,45
"5126",39,39
"5127",39,46
"5128",39,40
"5129",39,48
"5130",46,44
"5131",46,45
"5132",46,39
"5133",46,46
"5134",46,40
"5135",46,48
"5136",40,44
"5137",40,45
"5138",40,39
"5139",40,46
"5140",40,40
"5141",40,48
"5142",48,44
"5143",48,45
"5144",48,39
"5145",48,46
"5146",48,40
"5147",48,48
"5148",44,44
"5149",44,45
"5150",44,39
"5151",44,46
"5152",44,40
"5153",44,48
"5154",45,44
"5155",45,45
"5156",45,39
"5157",45,46
"5158",45,40
"5159",45,48
"5160",39,44
"5161",39,45
"5162",39,39
"5163",39,46
"5164",39,40
"5165",39,48
"5166",46,44
"5167",46,45
"5168",46,39
"5169",46,46
"5170",46,40
"5171",46,48
"5172",40,44
"5173",40,45
"5174",40,39
"5175",40,46
"5176",40,40
"5177",40,48
"5178",48,44
"5179",48,45
"5180",48,39
"5181",48,46
"5182",48,40
"5183",48,48
"5184",44,44
"5185",44,45
"5186",44,39
"5187",44,40
"5188",44,48
"5189",45,44
"5190",45,45
"5191",45,39
"5192",45,40
"5193",45,48
"5194",39,44
"5195",39,45
"5196",39,39
"5197",39,40
"5198",39,48
"5199",40,44
"5200",40,45
"5201",40,39
"5202",40,40
"5203",40,48
"5204",48,44
"5205",48,45
"5206",48,39
"5207",48,40
"5208",48,48
"5209",44,44
"5210",44,45
"5211",44,39
"5212",44,46
"5213",44,40
"5214",44,48
"5215",45,44
"5216",45,45
"5217",45,39
"5218",45,46
"5219",45,40
"5220",45,48
"5221",39,44
"5222",39,45
"5223",39,39
"5224",39,46
"5225",39,40
"5226",39,48
"5227",46,44
"5228",46,45
"5229",46,39
"5230",46,46
"5231",46,40
"5232",46,48
"5233",40,44
"5234",40,45
"5235",40,39
"5236",40,46
"5237",40,40
"5238",40,48
"5239",48,44
"5240",48,45
"5241",48,39
"5242",48,46
"5243",48,40
"5244",48,48
"5245",44,44
"5246",44,45
"5247",44,56
"5248",44,57
"5249",44,46
"5250",44,48
"5251",45,44
"5252",45,45
"5253",45,56
"5254",45,57
"5255",45,46
"5256",45,48
"5257",56,44
"5258",56,45
"5259",56,56
"5260",56,57
"5261",56,46
"5262",56,48
"5263",57,44
"5264",57,45
"5265",57,56
"5266",57,57
"5267",57,46
"5268",57,48
"5269",46,44
"5270",46,45
"5271",46,56
"5272",46,57
"5273",46,46
"5274",46,48
"5275",48,44
"5276",48,45
"5277",48,56
"5278",48,57
"5279",48,46
"5280",48,48
"5281",44,44
"5282",44,45
"5283",44,56
"5284",44,57
"5285",44,46
"5286",44,48
"5287",45,44
"5288",45,45
"5289",45,56
"5290",45,57
"5291",45,46
"5292",45,48
"5293",56,44
"5294",56,45
"5295",56,56
"5296",56,57
"5297",56,46
"5298",56,48
"5299",57,44
"5300",57,45
"5301",57,56
"5302",57,57
"5303",57,46
"5304",57,48
"5305",46,44
"5306",46,45
"5307",46,56
"5308",46,57
"5309",46,46
"5310",46,48
"5311",48,44
"5312",48,45
"5313",48,56
"5314",48,57
"5315",48,46
"5316",48,48
"5317",44,44
"5318",44,39
"5319",44,40
"5320",44,48
"5321",39,44
"5322",39,39
"5323",39,40
"5324",39,48
"5325",40,44
"5326",40,39
"5327",40,40
"5328",40,48
"5329",48,44
"5330",48,39
"5331",48,40
"5332",48,48
"5333",44,44
"5334",44,45
"5335",44,56
"5336",44,57
"5337",44,46
"5338",44,48
"5339",45,44
"5340",45,45
"5341",45,56
"5342",45,57
"5343",45,46
"5344",45,48
"5345",56,44
"5346",56,45
"5347",56,56
"5348",56,57
"5349",56,46
"5350",56,48
"5351",57,44
"5352",57,45
"5353",57,56
"5354",57,57
"5355",57,46
"5356",57,48
"5357",46,44
"5358",46,45
"5359",46,56
"5360",46,57
"5361",46,46
"5362",46,48
"5363",48,44
"5364",48,45
"5365",48,56
"5366",48,57
"5367",48,46
"5368",48,48
"5369",44,44
"5370",44,39
"5371",44,40
"5372",44,48
"5373",39,44
"5374",39,39
"5375",39,40
"5376",39,48
"5377",40,44
"5378",40,39
"5379",40,40
"5380",40,48
"5381",48,44
"5382",48,39
"5383",48,40
"5384",48,48
"5385",44,44
"5386",44,39
"5387",44,40
"5388",44,48
"5389",39,44
"5390",39,39
"5391",39,40
"5392",39,48
"5393",40,44
"5394",40,39
"5395",40,40
"5396",40,48
"5397",48,44
"5398",48,39
"5399",48,40
"5400",48,48
"5401",44,44
"5402",44,39
"5403",44,40
"5404",44,48
"5405",39,44
"5406",39,39
"5407",39,40
"5408",39,48
"5409",40,44
"5410",40,39
"5411",40,40
"5412",40,48
"5413",48,44
"5414",48,39
"5415",48,40
"5416",48,48
"5417",44,44
"5418",44,45
"5419",44,39
"5420",44,40
"5421",44,48
"5422",45,44
"5423",45,45
"5424",45,39
"5425",45,40
"5426",45,48
"5427",39,44
"5428",39,45
"5429",39,39
"5430",39,40
"5431",39,48
"5432",40,44
"5433",40,45
"5434",40,39
"5435",40,40
"5436",40,48
"5437",48,44
"5438",48,45
"5439",48,39
"5440",48,40
"5441",48,48
"5442",44,44
"5443",44,39
"5444",44,40
"5445",44,48
"5446",39,44
"5447",39,39
"5448",39,40
"5449",39,48
"5450",40,44
"5451",40,39
"5452",40,40
"5453",40,48
"5454",48,44
"5455",48,39
"5456",48,40
"5457",48,48
"5458",44,44
"5459",44,45
"5460",44,39
"5461",44,40
"5462",44,48
"5463",45,44
"5464",45,45
"5465",45,39
"5466",45,40
"5467",45,48
"5468",39,44
"5469",39,45
"5470",39,39
"5471",39,40
"5472",39,48
"5473",40,44
"5474",40,45
"5475",40,39
"5476",40,40
"5477",40,48
"5478",48,44
"5479",48,45
"5480",48,39
"5481",48,40
"5482",48,48
"5483",44,44
"5484",44,39
"5485",44,40
"5486",44,48
"5487",39,44
"5488",39,39
"5489",39,40
"5490",39,48
"5491",40,44
"5492",40,39
"5493",40,40
"5494",40,48
"5495",48,44
"5496",48,39
"5497",48,40
"5498",48,48
"5499",44,44
"5500",44,39
"5501",44,40
"5502",44,48
"5503",39,44
"5504",39,39
"5505",39,40
"5506",39,48
"5507",40,44
"5508",40,39
"5509",40,40
"5510",40,48
"5511",48,44
"5512",48,39
"5513",48,40
"5514",48,48
"5515",44,44
"5516",44,45
"5517",44,39
"5518",44,46
"5519",44,40
"5520",44,48
"5521",45,44
"5522",45,45
"5523",45,39
"5524",45,46
"5525",45,40
"5526",45,48
"5527",39,44
"5528",39,45
"5529",39,39
"5530",39,46
"5531",39,40
"5532",39,48
"5533",46,44
"5534",46,45
