"","id","autor","anio"
"459",6,"schabes retchkiman pablo samuel","1988"
"460",6,"schabes retchkiman pablo samuel","1985"
"461",6,"schabes retchkiman pablo samuel","1988"
"462",6,"schabes retchkiman pablo samuel","1998"
"463",7,"cañetas ortega jaqueline rafaela  d","2005"
"464",7,"cañetas ortega jaqueline rafaela  d","2014"
"465",7,"cañetas ortega jaqueline rafaela  d","2005"
"466",7,"cañetas ortega jaqueline rafaela  d","2001"
"467",7,"cañetas ortega jaqueline rafaela  d","2008"
"468",7,"cañetas ortega jaqueline rafaela  d","1999"
"469",7,"cañetas ortega jaqueline rafaela  d","2017"
"470",7,"cañetas ortega jaqueline rafaela  d","2018"
"471",7,"cañetas ortega jaqueline rafaela  d","2013"
"472",7,"cañetas ortega jaqueline rafaela  d","2006"
"473",7,"cañetas ortega jaqueline rafaela  d","2000"
"474",8,"camarillo garcia enrique","1998"
"475",8,"camarillo garcia enrique","1998"
"476",8,"camarillo garcia enrique","1999"
"477",8,"camarillo garcia enrique","1999"
"478",8,"camarillo garcia enrique","1999"
"479",8,"camarillo garcia enrique","2000"
"480",8,"camarillo garcia enrique","2000"
"481",8,"camarillo garcia enrique","2001"
"482",8,"camarillo garcia enrique","1996"
"483",8,"camarillo garcia enrique","1996"
"484",8,"camarillo garcia enrique","1997"
"485",8,"camarillo garcia enrique","1998"
"486",8,"camarillo garcia enrique","2003"
"487",8,"camarillo garcia enrique","2003"
"488",8,"camarillo garcia enrique","2004"
"489",8,"camarillo garcia enrique","1999"
"490",8,"camarillo garcia enrique","1999"
"491",8,"camarillo garcia enrique","1999"
"492",8,"camarillo garcia enrique","2004"
"493",8,"camarillo garcia enrique","2005"
"494",8,"camarillo garcia enrique","2005"
"495",8,"camarillo garcia enrique","2001"
"496",8,"camarillo garcia enrique","2002"
"497",8,"camarillo garcia enrique","2002"
"498",8,"camarillo garcia enrique","2003"
"499",8,"camarillo garcia enrique","2004"
"500",8,"camarillo garcia enrique","2008"
"501",8,"camarillo garcia enrique","2008"
"502",8,"camarillo garcia enrique","2014"
"503",8,"camarillo garcia enrique","2014"
"504",8,"camarillo garcia enrique","2009"
"505",8,"camarillo garcia enrique","2009"
"506",8,"camarillo garcia enrique","2006"
"507",8,"camarillo garcia enrique","2006"
"508",8,"camarillo garcia enrique","2015"
"509",8,"camarillo garcia enrique","2007"
"510",8,"camarillo garcia enrique","2017"
"511",8,"camarillo garcia enrique","2014"
"512",8,"camarillo garcia enrique","2017"
"513",8,"camarillo garcia enrique","2016"
"514",8,"camarillo garcia enrique","2018"
"515",8,"camarillo garcia enrique","2013"
"516",8,"camarillo garcia enrique","2011"
"517",8,"camarillo garcia enrique","2016"
"518",8,"camarillo garcia enrique","2017"
"519",8,"camarillo garcia enrique","2017"
"520",8,"camarillo garcia enrique","2018"
"521",8,"camarillo garcia enrique","2015"
"522",8,"camarillo garcia enrique","2015"
"523",8,"camarillo garcia enrique","2014"
"524",8,"camarillo garcia enrique","2016"
"525",9,"cordero borboa adolfo ernesto","2012"
"526",9,"cordero borboa adolfo ernesto","2009"
"527",9,"cordero borboa adolfo ernesto","2018"
"528",9,"cordero borboa adolfo ernesto","2001"
"529",9,"cordero borboa adolfo ernesto","2006"
"530",9,"cordero borboa adolfo ernesto","2008"
"531",9,"cordero borboa adolfo ernesto","2016"
"532",9,"cordero borboa adolfo ernesto","1988"
"533",9,"cordero borboa adolfo ernesto","1987"
"534",9,"cordero borboa adolfo ernesto","2015"
"535",9,"cordero borboa adolfo ernesto","2001"
"536",9,"cordero borboa adolfo ernesto","2012"
"537",9,"cordero borboa adolfo ernesto","2001"
"538",9,"cordero borboa adolfo ernesto","1985"
"539",9,"cordero borboa adolfo ernesto","1987"
"540",9,"cordero borboa adolfo ernesto","2018"
"541",9,"cordero borboa adolfo ernesto","1985"
"542",9,"cordero borboa adolfo ernesto","2017"
"543",9,"cordero borboa adolfo ernesto","2006"
"544",9,"cordero borboa adolfo ernesto","2012"
"545",9,"cordero borboa adolfo ernesto","2003"
"546",9,"cordero borboa adolfo ernesto","2005"
"547",9,"cordero borboa adolfo ernesto","1999"
"548",9,"cordero borboa adolfo ernesto","1987"
"549",9,"cordero borboa adolfo ernesto","1998"
"550",9,"cordero borboa adolfo ernesto","2005"
"551",9,"cordero borboa adolfo ernesto","1983"
"552",9,"cordero borboa adolfo ernesto","2003"
"553",10,"flores jimenez maria cristina soledad","1982"
"554",10,"flores jimenez maria cristina soledad","1991"
"555",10,"flores jimenez maria cristina soledad","2005"
"556",10,"flores jimenez maria cristina soledad","1994"
"557",10,"flores jimenez maria cristina soledad","1994"
"558",10,"flores jimenez maria cristina soledad","2001"
"559",10,"flores jimenez maria cristina soledad","1996"
"560",10,"flores jimenez maria cristina soledad","1997"
"561",10,"flores jimenez maria cristina soledad","1997"
"562",10,"flores jimenez maria cristina soledad","2007"
"563",10,"flores jimenez maria cristina soledad","2013"
"564",10,"flores jimenez maria cristina soledad","1999"
"565",10,"flores jimenez maria cristina soledad","2000"
"566",10,"flores jimenez maria cristina soledad","2011"
"567",10,"flores jimenez maria cristina soledad","2007"
"568",10,"flores jimenez maria cristina soledad","2007"
"569",10,"flores jimenez maria cristina soledad","2014"
"570",10,"flores jimenez maria cristina soledad","2005"
"571",10,"flores jimenez maria cristina soledad","2012"
"572",10,"flores jimenez maria cristina soledad","2006"
"573",10,"flores jimenez maria cristina soledad","2008"
"574",10,"flores jimenez maria cristina soledad","2016"
"575",10,"flores jimenez maria cristina soledad","2017"
"576",10,"flores jimenez maria cristina soledad","2017"
"577",10,"flores jimenez maria cristina soledad","2013"
"578",10,"flores jimenez maria cristina soledad","2018"
"579",11,"hernandez alcantara jose manuel","2011"
"580",11,"hernandez alcantara jose manuel","1998"
"581",11,"hernandez alcantara jose manuel","1999"
"582",11,"hernandez alcantara jose manuel","2000"
"583",11,"hernandez alcantara jose manuel","2000"
"584",11,"hernandez alcantara jose manuel","2001"
"585",11,"hernandez alcantara jose manuel","2001"
"586",11,"hernandez alcantara jose manuel","2001"
"587",11,"hernandez alcantara jose manuel","1996"
"588",11,"hernandez alcantara jose manuel","1996"
"589",11,"hernandez alcantara jose manuel","1996"
"590",11,"hernandez alcantara jose manuel","1996"
"591",11,"hernandez alcantara jose manuel","1996"
"592",11,"hernandez alcantara jose manuel","2002"
"593",11,"hernandez alcantara jose manuel","1997"
"594",11,"hernandez alcantara jose manuel","2002"
"595",11,"hernandez alcantara jose manuel","1997"
"596",11,"hernandez alcantara jose manuel","1997"
"597",11,"hernandez alcantara jose manuel","1998"
"598",11,"hernandez alcantara jose manuel","1998"
"599",11,"hernandez alcantara jose manuel","1999"
